rank,title,heat,tag,brief,link,trend,fetched_at,source
20,百岁老人爱喝咖啡奶茶玩坏3个iPad,5997306,,1925年出生的百岁老人，因爱喝咖啡、无糖珍珠奶茶及玩坏3台iPad引发关注。其小红书账号由外孙女运营，粉丝超6400人... 查看更多>,https://www.baidu.com/s?wd=%E7%99%BE%E5%B2%81%E8%80%81%E4%BA%BA%E7%88%B1%E5%96%9D%E5%92%96%E5%95%A1%E5%A5%B6%E8%8C%B6%E7%8E%A9%E5%9D%8F3%E4%B8%AAiPad&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
21,人老了真的会变傻吗,5896820,,我国每年会有50万名老人走丢，大部分都是因为“阿尔茨海默症”的原因。人老了真的会变傻吗？其实不然，老年痴呆不等于老了痴呆... 查看更多>,https://www.baidu.com/s?wd=%E4%BA%BA%E8%80%81%E4%BA%86%E7%9C%9F%E7%9A%84%E4%BC%9A%E5%8F%98%E5%82%BB%E5%90%97&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
22,暴雨！大暴雪！新一股冷空气将来袭,5803121,,10月29日至31日，新一股冷空气将影响我国，青藏高原东部部分地区有中到大雪，西藏、青海南部等地局地暴雪或大暴雪；中东部... 查看更多>,https://www.baidu.com/s?wd=%E6%9A%B4%E9%9B%A8%EF%BC%81%E5%A4%A7%E6%9A%B4%E9%9B%AA%EF%BC%81%E6%96%B0%E4%B8%80%E8%82%A1%E5%86%B7%E7%A9%BA%E6%B0%94%E5%B0%86%E6%9D%A5%E8%A2%AD&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
23,受贿1.47亿余元 杨发森被判无期,5707108,,2025年10月29日，陕西省汉中市中级人民法院一审公开宣判青海省委原常委、政法委原书记杨发森受贿案，对被告人杨发森以受... 查看更多>,https://www.baidu.com/s?wd=%E5%8F%97%E8%B4%BF1.47%E4%BA%BF%E4%BD%99%E5%85%83+%E6%9D%A8%E5%8F%91%E6%A3%AE%E8%A2%AB%E5%88%A4%E6%97%A0%E6%9C%9F&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
24,2025年大学生月均生活费1744元,5607592,,近日，有数据表明，2025年大学生月均生活费为1744元，较2016年增长532元，其中22.3%学生月均消费集中在13... 查看更多>,https://www.baidu.com/s?wd=2025%E5%B9%B4%E5%A4%A7%E5%AD%A6%E7%94%9F%E6%9C%88%E5%9D%87%E7%94%9F%E6%B4%BB%E8%B4%B91744%E5%85%83&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
25,直击星际访客3I/ATLAS,5511231,,3I/ATLAS是2025年7月1日由位于智利的ATLAS（小行星陆地撞击持续报警系统）望远镜发现的星际彗星，看看新闻邀... 查看更多>,https://www.baidu.com/s?wd=%E7%9B%B4%E5%87%BB%E6%98%9F%E9%99%85%E8%AE%BF%E5%AE%A23I%2FATLAS&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
26,这群年轻人为什么老在田里数虫子？,5426821,,在江苏南京，有这样一群年轻人，他们经常下田“数虫子”，“最多的时候一天能数3万头”。“没有调查就没有发言权”。对于这些植... 查看更多>,https://www.baidu.com/s?wd=%E8%BF%99%E7%BE%A4%E5%B9%B4%E8%BD%BB%E4%BA%BA%E4%B8%BA%E4%BB%80%E4%B9%88%E8%80%81%E5%9C%A8%E7%94%B0%E9%87%8C%E6%95%B0%E8%99%AB%E5%AD%90%EF%BC%9F&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
27,中央定调！未来五年房地产方向明确,5330082,,随着“十五五”规划任务的全面下达，中国房地产行业正站在一个新旧模式转换的历史节点。多位业内专家预计，“十五五”时期房地产... 查看更多>,https://www.baidu.com/s?wd=%E4%B8%AD%E5%A4%AE%E5%AE%9A%E8%B0%83%EF%BC%81%E6%9C%AA%E6%9D%A5%E4%BA%94%E5%B9%B4%E6%88%BF%E5%9C%B0%E4%BA%A7%E6%96%B9%E5%90%91%E6%98%8E%E7%A1%AE&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
28,300元以下难买真羽绒服？记者调查,5218498,,近期社交平台热议“300元以下难购真羽绒服”，中国羽绒工业协会指出羽绒原料占成本30%-50%，高端品牌售价可达三四千元... 查看更多>,https://www.baidu.com/s?wd=300%E5%85%83%E4%BB%A5%E4%B8%8B%E9%9A%BE%E4%B9%B0%E7%9C%9F%E7%BE%BD%E7%BB%92%E6%9C%8D%EF%BC%9F%E8%AE%B0%E8%80%85%E8%B0%83%E6%9F%A5&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
29,“梅丽莎”逼近 多艘美军舰艇躲避,5121911,,据美国“战区”网站10月27日报道，一名美国海军官员表示，多艘正在加勒比海地区执行任务的美国海军舰船已被转移，以避开“梅... 查看更多>,https://www.baidu.com/s?wd=%E2%80%9C%E6%A2%85%E4%B8%BD%E8%8E%8E%E2%80%9D%E9%80%BC%E8%BF%91+%E5%A4%9A%E8%89%98%E7%BE%8E%E5%86%9B%E8%88%B0%E8%89%87%E8%BA%B2%E9%81%BF&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
